date,ticker,close,volume,QMI,RLI,STSI,BRI,TailwindScore,TotalScore,z_mom_6m,z_mom_3m,z_ema_stack,z_ema50_slope,z_vol_60,z_mdd_3m,z_sustain,z_log_adv,z_prox_high,z_RS_spy_slope,z_RS_sector_slope,ema_stack,ema50_slope,RS_spy_slope90,RS_sector_slope90
2026-02-13,AMRX,14.819999694824219,1920200.0,0.9611752750456535,0.6900372954050173,1.1000740328896044,0.9984576553585554,0.2569663786020868,0.8289433176609542,0.6282660490170042,0.7382913336569389,0.8082058698137686,0.7836849175449898,-1.2054820301714886,-1.0611616568673259,0.7745966692414834,1.0734581813974777,0.9318753164468168,0.7005991979349556,0.67419444161011,0.21160201662625142,0.08938297245479765,0.0036096276960649654,0.002777708262645525
2026-02-13,ANEB,0.4790000021457672,42500.0,-1.2306255356166396,-0.8882055205320791,-1.5509897686229468,-1.2012372685409443,-0.670905951927306,-1.209276943261102,-1.1969745958726583,-1.34807302439428,-1.0697648302590606,-1.11209112936102,1.034608915160414,1.3737281835030621,-1.2909944487358056,-1.06243425897154,-1.2761406623199976,-0.8884324800726503,-0.8878650812212222,-0.4597300505722531,-0.3035631792839497,-0.017743423783929922,-0.01857534321734937
2026-02-13,APLD,35.279998779296875,22398900.0,0.27784507887994225,0.648231597874742,1.1073668963293783,0.7451052537932894,-0.23170524485058203,0.7247686434797274,1.7462457859158647,0.9192352208804299,1.1226957419214971,0.9955734428110786,0.47911918017578053,-0.1714124915596735,0.7745966692414834,2.0970543135195556,0.5402745240723223,0.6192953573486277,0.6916359586639136,0.32402503576434927,0.1333020739419133,0.002517084911934988,0.0030161304265231385
2026-02-13,CCTG,0.6669999957084656,49600.0,-1.3082706685772916,-2.159484618576739,-1.9174825458655618,-1.1751727459623162,-0.5705954572540282,-1.7086056463210495,-1.3725146350536808,-1.4012354247485106,-1.8489176598736117,-1.6685174993252354,1.259792624358253,1.4241782845095656,-1.2909944487358056,-0.535070224471747,-1.6597444573903983,-2.159920258517859,-2.1588311586650586,-0.7382595716922661,-0.41889621198063254,-0.034829391524589984,-0.03594920361403531
2026-02-13,NVCT,8.760000228881836,60300.0,0.7571329248530068,0.7149093657872726,0.8803511052437566,0.47563244409319394,0.18006335392604012,0.6989331201160923,0.3431000275517766,1.1626413049194209,0.5304934434431725,0.7736410659751005,-0.6424160420041402,-0.885548888155115,0.7745966692414834,-0.4511916084721163,0.8492487741532169,0.7256412936986364,0.6988114739202269,0.11232610285674771,0.0873011375094388,0.003946137765316256,0.0031142183318968253
2026-02-13,PESI,14.84000015258789,84700.0,0.7674931190512948,0.7185189701107892,0.6814210812478969,0.5770104764524465,0.33902081223568226,0.6222154996611772,0.20476782715172798,0.3967304765673902,0.5910912029139187,0.7382335450422458,-0.7874181033835962,-0.7198467670773713,0.7745966692414834,0.012670432302688548,0.7761489915715619,0.7377573520902725,0.6896613971415645,0.13398843184383794,0.07996205907985243,0.004108950641957973,0.002989138552512655
2026-02-13,RTW,2.0899999141693115,99973.0,0.9275547136953595,0.6781118648462023,0.9082024401548603,0.5951185637194859,-0.12443919007174328,0.6441514702823752,0.536804197688509,0.5442541856544055,0.5978162555949993,0.4864073393540703,-1.213105972637271,-0.8816229364171823,0.7745966692414834,-0.26087807852467887,0.6674090463717028,0.664082566003517,0.6991558131102305,0.13639248613405322,0.027764892334531277,0.0031189253820080765,0.0031189253820080765
2026-02-13,SYBX,0.621999979019165,4800.0,-1.1523049073313256,-0.40211895491520605,-1.2089432413769883,-1.0149143789137114,-0.5511896673912204,-0.8756864549643892,-0.8896946563985435,-1.0118440725357951,-0.7316200235546838,-0.9969316820412295,1.0749014285020497,0.9216862720640399,-1.2909944487358056,-0.8736087567796417,-0.8290715329052254,-0.39902302848550014,-0.4067628445597649,-0.33885092711815207,-0.2796935551611399,-0.011166849283137333,-0.011998768716556777
2026-02-13,HHPD,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,HCL,,,,,,,,,,,,,,,,,,,,,,,
