ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
GSAT,Globalstar,27.53368059649363,28.2,9.95,16.11,65,4.7,48.81,-3.22,-17.9,small,20678496.56,RS_trend_protect,below_cutoff
SFIX,Stitch Fix,27.532895478918242,5.47,21.2,28.19,77,4.16,14.44,84.87,-17.62,small,10139656.56,breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
HSLV.TO,Highlander Silver,27.48587589563369,3.9,28.04,nan,81,4.12,60.49,-80.43,-0.51,small,669435.02,RS_trend_protect;low_liquidity_today;overheat_L1;probe_ok_L1,below_cutoff
TH.TO,Theratechnologies,27.47271274089984,4.47,7.81,47.05,60,0.91,22.47,35.18,-1.32,small,127640.84,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
RRR,Red Rock Resorts,27.46809587141741,62.97,11.87,30.33,77,2.2,28.95,-1.32,0.0,small,56903471.3,RS_trend_protect;breakout_protect,below_cutoff
NNNN,Anbio Biotechnology,27.409074845222687,46.94,10.83,nan,52,8.09,472.58,-54.86,-9.9,small,4512811.47,RS_trend_protect,below_cutoff
IPO.TO,InPlay Oil,27.386226112995708,11.24,10.83,20.03,63,2.36,23.79,-49.68,-10.3,small,699184.19,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
GASS,StealthGas,27.374675907199165,7.66,13.11,29.88,74,3.63,26.82,23.94,0.0,small,1171788.48,RS_trend_protect;breakout_protect,below_cutoff
ZIVO,Zivo Bioscience,27.36237958208806,18.99,31.79,9.04,82,4.16,8.45,-78.42,-14.07,small,26396.1,low_liquidity_today;overheat_L1;probe_ok_L1,below_cutoff
DC,Dakota Gold,27.34352240414674,4.18,5.45,38.39,60,3.51,24.78,-18.61,-4.13,small,2369746.4,RS_trend_protect;breakout_protect;pullback_protect;setup_protect,below_cutoff
GNRC,Generac,27.32704615981681,186.99,12.45,25.58,41,2.57,46.97,-34.27,-7.82,large,198029895.42,RS_trend_protect,below_cutoff
GMIN.TO,G Mining Ventures,27.28811695572935,20.54,15.52,27.18,68,3.87,-5.95,-36.76,-5.95,small,12726379.17,stall_risk,below_cutoff
LLYVK,Liberty Media Corporation,27.27043160640506,96.56,13.74,29.18,90,2.4,30.56,30.98,-0.6,small,37109938.26,RS_trend_protect,below_cutoff
ESLT.TA,Elbit Systems,27.21825320520933,165580.0,8.43,29.25,52,2.76,10.39,-2.27,-2.31,large,17382116497.0,pullback_protect;setup_protect,below_cutoff
CVNA,Carvana,27.214198293004205,367.35,7.08,37.17,55,3.97,8.01,-36.76,-5.85,large,1202981269.24,pullback_protect;stall_risk;setup_protect,below_cutoff
LNC,Lincoln National,27.111520589421666,42.43,16.64,24.99,80,1.89,29.38,-24.72,-0.42,small,89973452.1,RS_trend_protect,below_cutoff
EVOK,Evoke Pharma,27.090151912042415,5.49,22.81,36.76,52,9.29,52.5,-89.95,-22.46,small,2719855.69,RS_trend_protect;low_liquidity_today,below_cutoff
IPCO.TO,International Petroleum,27.087600448279584,25.78,10.58,30.08,80,1.81,25.27,-5.56,-0.12,small,2358483.36,RS_trend_protect,below_cutoff
EXPE,Expedia,27.026280821380414,212.21,13.95,19.45,76,2.99,25.85,-35.23,-1.21,large,455383575.51,RS_trend_protect,below_cutoff
VIV,Telefonica Brasil,27.001054991790802,12.61,9.08,34.48,66,1.51,23.2,20.43,-1.48,small,11963484.97,RS_trend_protect;pullback_protect,below_cutoff
SAP.TO,Saputo,26.979946621014292,34.2,16.27,30.53,89,2.12,29.0,70.54,0.0,small,24855534.55,RS_trend_protect,below_cutoff
SDZNY,Sandoz Group,26.939276413876698,62.85,9.6,32.6,52,1.35,22.95,-11.13,0.0,small,1414439.22,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
ABVX,Abivax,26.894643839993563,79.43,93.73,409.85,74,3.78,926.23,11.03,-0.34,small,89448903.39,RS_trend_protect,below_cutoff
FN,Fabrinet,26.726011557222776,332.34,9.01,37.35,49,4.47,38.55,12.2,-4.59,large,291139806.99,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
GLW,Corning,26.698142860531938,67.25,15.77,34.17,68,1.59,32.43,-17.04,-0.22,large,343145815.0,RS_trend_protect;stall_risk,below_cutoff
EYE,National Vision,26.69439043262638,24.39,1.34,53.18,52,3.58,14.4,7.67,-4.28,small,55515662.96,pullback_protect;setup_protect,below_cutoff
RBLX,Roblox,26.675555339333613,122.7,5.27,57.46,41,4.32,36.41,-36.25,-10.95,large,1298584374.7,RS_trend_protect,below_cutoff
GNK,Genco Shipping & Trading,26.661209129208633,17.03,12.5,20.78,67,2.39,30.61,-35.6,-6.78,small,10229155.06,RS_trend_protect;stall_risk,below_cutoff
AMPG,AmpliTech,26.650256380649907,3.06,13.2,44.87,56,9.39,35.4,-62.24,-46.41,small,2236094.96,RS_trend_protect;low_liquidity_today;stall_risk,below_cutoff
VOE.VI,voestalpine,26.64369519596108,28.36,13.26,30.35,81,2.63,23.92,-37.12,-0.77,small,8729306.03,RS_trend_protect,below_cutoff
AS,Amer Sports,26.495504499902637,41.05,7.61,33.0,60,3.83,9.58,-13.64,-1.04,large,201075416.51,pullback_protect;setup_protect,below_cutoff
HNGE,Hinge Health,26.486688346834057,57.77,17.32,nan,44,5.73,43.21,-7.85,-4.59,small,53039503.97,RS_trend_protect,below_cutoff
JMHLY,Jardine Matheson,26.448869927947413,59.68,11.9,34.35,59,2.01,34.35,-21.59,0.0,small,540402.4,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
KN,Knowles,26.358704721951124,21.59,12.79,20.29,70,2.43,29.83,-39.44,0.0,small,12177623.69,RS_trend_protect;breakout_protect;stall_risk,below_cutoff
AII.TO,Almonty Industries,26.25740273558904,5.8,-3.08,67.19,56,5.99,25.54,-44.38,-28.83,small,2373215.08,RS_trend_protect;setup_protect,below_cutoff
EDV.L,Endeavour Mining,26.245340604147977,2544.0,8.65,32.63,59,2.45,8.35,-51.89,-1.32,large,1076449970.4,pullback_protect;stall_risk;setup_protect,below_cutoff
SSSS,SuRo Capital,26.231011908544648,8.73,5.27,40.32,65,2.53,35.27,-61.2,-0.8,small,2259061.98,RS_trend_protect;pullback_protect;low_liquidity_today;stall_risk,below_cutoff
DAL,Delta Air Lines,26.18770882455486,61.26,12.91,12.0,71,2.95,25.9,-34.87,-10.5,large,441100473.81,RS_trend_protect,below_cutoff
FDMT,4D Molecular Therapeutics,26.17592696671744,6.46,27.37,31.47,59,8.67,66.93,-84.86,-61.59,small,17025491.6,RS_trend_protect;low_liquidity_today;stall_risk,below_cutoff
CUBI,Customers Bancorp,26.16000387692235,71.09,13.08,30.39,86,2.17,37.5,-30.16,0.0,small,18475223.7,RS_trend_protect,below_cutoff
CRMD,CorMedix,26.113410119925337,14.14,14.68,31.48,84,5.06,12.13,5.07,-14.61,small,49561266.8,breakout_protect,below_cutoff
GCO,Genesco,26.087627131056554,32.99,36.68,14.5,78,4.38,47.61,16.0,-25.01,small,6950498.5,RS_trend_protect;breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
GMAB,Genmab,26.076470247918035,24.78,12.08,17.15,67,1.56,16.07,-7.21,-11.15,small,31417447.77,breakout_protect,below_cutoff
CALX,Calix,26.028140245451535,59.4,9.41,41.6,64,2.52,25.63,-53.4,-0.12,small,36630792.94,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
VIK,Viking Holdings,26.025236591290778,62.94,10.91,31.65,74,2.58,35.59,-26.05,0.0,small,182416480.42,RS_trend_protect;breakout_protect,below_cutoff
BSVN,Bank7,26.016090748019895,49.84,11.39,18.95,82,2.89,28.44,-27.07,0.0,small,970384.8,RS_trend_protect;breakout_protect,below_cutoff
SAN,Banco Santander,26.006449862345214,9.37,6.63,39.69,61,1.3,18.46,0.25,-4.29,small,37236239.0,pullback_protect;stall_risk;setup_protect,below_cutoff
CVE.TO,Cenovus Energy,26.000691488974223,23.38,15.87,18.52,83,2.28,26.72,11.57,-5.13,large,228838989.59,RS_trend_protect;breakout_protect,below_cutoff
MCY,Mercury General,25.971163170040924,77.62,11.55,24.75,81,2.04,19.43,-9.18,-0.31,small,21442525.76,,below_cutoff
ELA,Envela,25.95238464787694,7.35,17.85,14.2,80,5.08,27.38,-28.56,-6.73,small,374519.25,RS_trend_protect,below_cutoff
POWL,Powell Industries,25.9286078519617,274.37,20.13,26.3,69,5.12,58.21,-25.46,-21.77,small,86025968.27,RS_trend_protect;breakout_protect;stall_risk,below_cutoff
CTRN,Citi Trends,25.925991653061963,36.78,17.53,42.13,76,5.39,11.9,143.45,0.0,small,2350793.62,breakout_protect,below_cutoff
VTGN,VistaGen Therapeutics,25.836697799012143,3.18,20.49,21.78,63,6.99,33.05,-41.11,-14.05,small,1880270.44,RS_trend_protect;stall_risk,below_cutoff
BTI,British American Tobacco,25.818295735845123,56.77,7.61,33.74,50,1.18,24.45,-25.73,-4.22,large,268862438.32,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
FVI.TO,Fortuna Mining,25.754646527136746,10.46,11.97,31.54,82,3.72,14.19,14.87,0.0,small,11606939.04,breakout_protect,below_cutoff
AEIS,Advanced Energy Industries,25.753555565481598,153.73,8.01,28.8,58,3.33,29.5,-18.28,-5.35,small,79559884.69,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
EZPW,EZCORP,25.702335907344434,16.4,13.56,19.74,73,2.1,23.22,-43.6,-0.79,small,12729761.7,RS_trend_protect,below_cutoff
BBW,Build-A-Bear Workshop,25.59653615499316,58.56,10.9,35.74,72,4.19,22.77,52.45,0.0,small,14454365.14,RS_trend_protect;breakout_protect,below_cutoff
NBN,Northeast Bank,25.56560586002686,110.67,14.97,17.61,84,2.63,35.72,-27.81,0.0,small,10286222.98,RS_trend_protect;breakout_protect,below_cutoff
NVDA,Nvidia,25.535614035796723,181.6,7.31,31.17,52,2.47,28.6,40.48,-0.85,large,29981650711.67,RS_trend_protect;pullback_protect,below_cutoff
RMBS,Rambus,25.52785296147841,75.05,9.87,27.49,57,3.47,33.3,-9.67,-2.27,small,86227575.26,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
ACLS,Axcelis Technologies,25.51417607381574,81.92,9.89,23.96,56,3.21,38.21,-48.27,-26.12,small,46318795.76,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
LAUR,Laureate Education,25.45491374100768,27.34,13.09,30.68,79,2.15,21.13,-20.69,0.0,small,25744164.34,RS_trend_protect;breakout_protect,below_cutoff
PET.TO,Pet Valu,25.40177703841051,38.15,9.97,33.77,71,1.79,24.92,-0.95,-0.55,small,5623310.22,RS_trend_protect,below_cutoff
WGX.AX,Westgold Resources,25.384213352941188,3.4,17.53,20.79,77,2.55,8.28,-26.73,0.0,small,15467593.4,breakout_protect,below_cutoff
YEXT,Yext,25.370203208519925,9.12,9.81,26.68,72,3.16,33.72,-4.01,0.0,small,9862823.88,RS_trend_protect;breakout_protect,below_cutoff
ATMU,Atmus Filtration Technologies,25.277121992151905,44.56,13.81,15.15,71,2.87,21.9,-38.09,-2.18,small,40746556.46,RS_trend_protect,below_cutoff
CVI,CVR Energy,25.049212481283156,29.58,5.64,34.93,68,4.31,24.55,12.3,-8.96,small,59481090.75,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
PINC,Premier,24.93594814157891,26.25,16.56,24.45,77,3.72,13.83,-49.55,0.0,small,51754631.25,breakout_protect,below_cutoff
KRC,Kilroy Realty,24.792421691348142,41.15,11.45,16.78,67,2.17,26.01,6.19,-1.14,small,56385378.09,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
AZO,AutoZone,24.7891092481967,4205.41,9.36,17.79,66,1.34,12.2,3.88,0.0,large,459483113.67,breakout_protect;pullback_protect,below_cutoff
AG.TO,First Majestic Silver,24.730627386061276,12.52,6.67,32.34,60,4.53,29.61,-25.96,-1.34,small,15160405.95,RS_trend_protect;breakout_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
SCHL,Scholastic,24.70454464174906,25.87,11.37,23.53,60,3.1,46.41,-42.73,-16.88,small,6527777.31,RS_trend_protect;stall_risk,below_cutoff
VRNA,Verona Pharma,24.701359265374833,105.78,3.95,52.08,60,0.24,24.73,-48.48,-0.02,small,160625870.35,RS_trend_protect;breakout_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
AMRX,Amneal Pharmaceuticals,24.684753226508445,9.36,10.88,15.21,76,2.87,25.64,-51.15,-2.4,small,15749088.62,RS_trend_protect,below_cutoff
APTV,Aptiv,24.66555835139217,79.95,13.32,26.32,87,2.59,19.52,-9.54,0.0,large,226479952.86,,below_cutoff
ZYME,Zymeworks,24.650567440681243,14.93,11.83,12.79,79,4.18,23.59,-45.65,-14.2,small,6622649.54,RS_trend_protect,below_cutoff
LTBR,Lightbridge,24.6495474928343,15.56,10.95,53.98,57,9.5,4.99,-42.5,-9.22,small,22745764.21,stall_risk,below_cutoff
EL,Estee Lauder,24.645138504867603,92.61,5.95,26.68,52,3.47,34.35,-4.29,-6.75,large,392798834.89,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
SKYT,SkyWater Technology,24.62016156608144,12.0,14.06,25.89,44,6.3,34.98,-7.42,-25.28,small,18104580.0,RS_trend_protect,below_cutoff
USA.TO,Americas Gold & Silver,24.596629905696478,3.33,4.52,53.12,36,6.37,26.86,-22.6,-11.2,small,1498077.06,RS_trend_protect,below_cutoff
AGFY,Agrify,24.595441140711635,30.52,19.06,24.09,67,10.42,27.17,-13.25,-51.33,small,460852.01,RS_trend_protect,below_cutoff
BBUC.TO,Brookfield Business Corp,24.57865906100615,48.0,12.61,25.76,85,2.41,20.63,-17.72,-0.44,small,1983360.0,RS_trend_protect,below_cutoff
SSD,Simpson Manufacturing,24.57000344994305,194.07,12.76,16.7,65,2.17,22.62,-23.88,-1.53,small,56290975.97,RS_trend_protect;stall_risk,below_cutoff
CBL,CBL & Associates Properties,24.568538413451407,31.39,13.97,17.0,77,1.91,27.96,-8.5,-1.13,small,4497402.16,RS_trend_protect,below_cutoff
ADEN.TO,ADENTRA,24.555919695892786,34.99,14.18,11.06,69,2.64,32.19,-57.22,-18.28,small,2920090.59,RS_trend_protect;stall_risk,below_cutoff
TDW,Tidewater,24.55377138306381,60.72,16.76,26.81,61,3.74,42.1,-44.85,-32.81,small,64071138.09,RS_trend_protect;stall_risk,below_cutoff
ATAT,Atour Lifestyle Holdings,24.524956194982302,37.28,8.05,27.39,65,3.22,20.65,20.57,0.0,small,45969780.09,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
CPH.TO,Cipher Pharmaceuticals,24.515218922066644,15.3,14.3,15.26,67,3.73,23.69,33.94,-19.43,small,421515.01,RS_trend_protect,below_cutoff
IDN,Intellicheck,24.470107832134495,5.32,2.19,50.43,58,6.27,-0.37,-5.99,-12.36,small,999415.23,setup_protect,below_cutoff
SANM,Sanmina,24.458045421223456,116.95,9.52,34.33,47,2.98,32.66,-5.1,-5.56,small,89111219.67,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
MEDP,Medpace,24.386403372110934,473.48,21.86,39.13,74,1.96,54.7,-16.9,-0.89,small,168930565.72,RS_trend_protect;breakout_protect,below_cutoff
STRW,Strawberry Fields REIT,24.37459147129919,11.93,11.82,10.26,70,4.63,16.81,-56.93,-3.97,small,351815.71,pullback_protect;stall_risk,below_cutoff
APH,Amphenol,24.346495184364116,110.13,6.48,36.68,56,2.19,20.34,-41.83,-1.54,large,836375656.34,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
NPB,Northpointe Bancshares,24.250160407652697,17.77,18.36,nan,94,2.34,35.25,-8.71,0.0,small,3168924.18,RS_trend_protect;overheat_L1;probe_ok_L1,below_cutoff
EME,EMCOR,24.1583079357721,624.0,8.25,30.33,54,2.37,29.04,12.53,-2.4,large,206724960.0,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
HIFS,Hingham Institution For Savings,24.115325682369125,294.04,15.02,16.13,86,3.22,25.93,-0.17,-0.84,small,13813999.6,RS_trend_protect,below_cutoff
KBC.BR,KBC Group,24.06692141046933,101.9,9.55,26.13,64,1.27,18.1,-3.93,-2.86,small,40810466.59,pullback_protect;stall_risk,below_cutoff
PII,Polaris,24.025609621515454,57.54,15.82,21.11,62,3.9,41.69,-34.02,-30.38,small,83518448.23,RS_trend_protect;stall_risk,below_cutoff
IVZ,Invesco,24.025055044437167,22.05,16.63,32.95,74,1.88,54.1,4.24,0.0,small,102031740.97,RS_trend_protect;breakout_protect,below_cutoff
BBVA,Banco Bilbao Vizcaya Argentaria,24.009680858843396,17.96,9.2,36.0,48,1.06,19.73,42.1,-6.65,small,28807838.53,pullback_protect,below_cutoff
CPS,Cooper-Standard,24.00083359793576,35.59,40.96,91.75,93,4.59,69.4,-24.09,0.0,small,9465516.44,RS_trend_protect;overheat_L2;probe_ok_L2,below_cutoff
PAY,Paymentus,23.95418593936024,38.2,17.74,18.61,82,2.77,-1.34,9.28,-4.12,small,34128453.68,,below_cutoff
SKYW,SkyWest,23.945089486696112,122.59,10.68,18.49,68,2.63,18.46,6.36,-0.91,small,38127940.66,pullback_protect,below_cutoff
R,Ryder System,23.897032632749433,187.23,8.72,19.18,67,2.09,25.16,-2.62,0.0,small,54719838.55,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
TOL,Toll Brothers,23.89145295533156,137.94,12.86,14.55,74,2.64,31.04,-19.53,-17.25,large,225393274.29,RS_trend_protect,below_cutoff
DHI,DR Horton,23.85784409974076,167.5,15.83,22.13,67,2.83,41.9,-30.04,-14.05,large,669534350.0,RS_trend_protect;stall_risk,below_cutoff
AEM.TO,Agnico Eagle Mines,23.85060092094313,192.42,10.97,30.22,63,2.12,14.49,-39.38,-0.37,small,164214112.74,pullback_protect;stall_risk,below_cutoff
TCW.TO,Trican Well Service,23.83833714540949,5.82,6.88,22.26,53,2.27,31.63,5.94,-2.84,small,2996805.39,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
AAP,Advance Auto Parts,23.790947059413526,60.77,8.01,35.83,58,3.86,17.43,-47.95,-8.62,small,127859169.41,pullback_protect;stall_risk;setup_protect,below_cutoff
AX,Axos Financial,23.770945650445306,92.31,10.3,25.66,74,1.89,30.4,-24.17,0.0,small,34049004.15,RS_trend_protect;breakout_protect,below_cutoff
ZETA,Zeta Global,23.75634598306308,19.92,21.25,16.87,52,4.94,51.25,-37.87,-45.78,large,224718616.46,RS_trend_protect,below_cutoff
MESO,Mesoblast,23.602134952514568,16.12,18.16,18.18,59,2.55,52.8,33.87,-23.38,small,2185549.71,RS_trend_protect;stall_risk,below_cutoff
BGLC,BioNexus Gene Lab,23.59647573039312,5.59,8.3,53.45,48,4.99,62.03,-69.27,-49.82,small,742100.47,RS_trend_protect;low_liquidity_today,below_cutoff
SONN,Sonnet BioTherapeutics,23.56168207141233,3.55,-4.02,65.35,62,12.72,203.42,-61.08,-63.66,small,2438903.22,RS_trend_protect;low_liquidity_today,below_cutoff
GEV,GE Vernova,23.529360632237996,622.39,6.66,48.62,39,3.34,26.31,-25.19,-6.34,large,1547787495.98,RS_trend_protect,below_cutoff
PBI,Pitney Bowes,23.52690578458006,12.3,8.38,32.11,71,2.95,21.46,-17.19,-3.14,small,51114372.79,RS_trend_protect,below_cutoff
MARUY,Marubeni,23.490111699392127,225.91,8.31,30.41,67,2.39,12.53,-14.79,0.0,small,2253452.29,breakout_protect;pullback_protect,below_cutoff
SCLX,Scilex,23.476111384938555,18.02,58.2,50.84,57,12.62,229.43,-38.12,-55.23,small,4726105.52,RS_trend_protect;stall_risk,below_cutoff
LICN,Lichen International,23.47412234985381,4.83,12.41,64.81,63,8.17,1.68,-94.07,-27.15,small,790260.44,low_liquidity_today;stall_risk,below_cutoff
PH,Parker-Hannifin,23.47085804954711,768.1,7.0,15.38,66,1.79,15.55,-19.02,0.0,large,603715059.31,breakout_protect;pullback_protect,below_cutoff
UNCRY,UniCredit,23.467042162376742,38.57,6.99,38.49,50,1.25,18.28,-10.15,-5.28,small,9705369.02,pullback_protect;setup_protect,below_cutoff
LGCY,Legacy Education,23.436866067127838,13.22,16.79,53.21,80,4.94,45.27,175.85,0.0,small,1041405.52,RS_trend_protect;breakout_protect,below_cutoff
DDC,DDC Enterprise,23.405941067205443,12.56,-2.23,87.63,51,12.32,25.6,25.8,-36.95,small,1251038.84,RS_trend_protect,below_cutoff
TSCO,Tractor Supply,23.399040626263922,62.38,8.74,15.21,68,1.68,27.65,-12.19,0.0,large,254851622.96,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
GS,Goldman Sachs,23.387957641745146,749.67,5.51,22.22,65,1.8,24.15,-10.34,0.0,large,1283341301.99,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
NU,NU Holdings,23.36018595942779,14.64,12.57,19.44,76,3.28,22.1,-6.83,-7.87,large,791822718.57,RS_trend_protect;breakout_protect,below_cutoff
LOW,Lowe's,23.354885855915548,258.67,11.53,8.68,71,2.04,13.66,-34.3,-7.17,large,845922078.16,,below_cutoff
UPB,Upstream Bio,23.337233929353733,16.7,21.94,32.93,55,7.59,54.06,-42.72,-39.03,small,7411460.34,RS_trend_protect;stall_risk,below_cutoff
ECO,Okeanis Eco Tankers,23.317919654686722,26.71,10.63,18.5,62,2.77,19.83,7.11,-21.21,small,3578472.13,pullback_protect,below_cutoff
BNL,Broadstone Net Lease,23.303971651750643,18.38,11.91,15.4,81,1.49,16.39,-35.95,0.0,small,33159999.79,breakout_protect,below_cutoff
BVN,Cia de Minas Buenaventura,23.28895690690154,18.62,7.41,28.53,52,2.46,16.08,-5.98,-1.74,small,17648967.8,pullback_protect;setup_protect,below_cutoff
VITL,Vital Farms,23.277212404350614,52.41,28.46,45.04,88,3.76,67.44,-2.92,0.0,small,63686797.46,RS_trend_protect;overheat_L1;probe_ok_L1,below_cutoff
ZH,Zhihu,23.273548563390356,4.9,11.36,19.13,64,5.42,28.27,47.85,-15.37,small,1852984.04,RS_trend_protect;pullback_protect,below_cutoff
FAST,Fastenal,23.159004423343617,50.2,10.01,24.71,71,1.69,22.45,-31.08,-0.38,large,294415474.47,RS_trend_protect,below_cutoff
HWKN,Hawkins,23.134278190324366,172.78,8.3,33.83,49,3.22,30.15,-49.6,-6.38,small,33355178.76,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
MHK,Mohawk Industries,23.131305339452258,132.22,14.12,13.09,66,2.71,31.43,-31.28,-18.0,small,110432128.32,RS_trend_protect;stall_risk,below_cutoff
BKE,Buckle,23.085802537347533,56.85,14.09,29.43,68,2.4,33.36,14.21,-0.72,small,31797909.65,RS_trend_protect;stall_risk,below_cutoff
EBS,Emergent BioSolutions,23.03982448910989,8.59,16.65,14.35,56,6.09,34.01,-54.47,-28.24,small,12362857.07,RS_trend_protect;stall_risk,below_cutoff
NTWK,NetSol Technologies,23.03201317016122,4.0,6.02,38.21,43,5.96,41.84,-42.47,-9.91,small,163400.0,RS_trend_protect,below_cutoff
LRCX,Lam Research,22.994580287528706,103.67,4.83,26.09,59,2.85,24.23,-42.3,-3.46,large,1296022706.86,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
DOCS,Doximity,22.99207719300401,67.99,10.87,15.6,67,3.92,27.06,-21.27,-18.22,small,126163259.89,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
STNE,StoneCo,22.97231842111936,15.92,7.94,36.02,74,3.37,12.43,-45.35,-4.27,small,78872615.58,breakout_protect,below_cutoff
DCO,Ducommun,22.96454895574513,92.21,4.87,32.05,51,2.81,29.04,2.79,-1.8,small,11356583.49,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
WB,Weibo,22.9354535555104,11.17,9.98,22.68,68,3.62,21.68,-33.22,-6.45,small,15451237.71,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
FRO,Frontline,22.88904940589291,20.52,9.72,21.66,55,2.84,16.12,23.2,-16.32,small,44221319.19,pullback_protect;setup_protect,below_cutoff
PPRUY,Kering,22.874713597371162,26.66,11.91,16.28,64,1.49,36.23,-36.09,-7.14,small,4801465.97,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
RILY,B Riley Financial,22.872361068736556,5.61,16.97,29.82,56,10.64,90.17,46.8,-18.93,small,7047871.22,RS_trend_protect;stall_risk,below_cutoff
LFUS,Littelfuse,22.83706567444062,262.41,9.47,17.28,64,2.54,23.91,-13.54,-2.43,small,49137585.24,RS_trend_protect;pullback_protect,below_cutoff
SOHU,Sohu.com,22.819078686727885,15.68,8.23,22.25,49,3.6,53.57,-47.94,-8.04,small,1213788.82,RS_trend_protect;setup_protect,below_cutoff
AMBA,Ambarella,22.73296990501665,71.93,9.13,13.55,69,3.72,33.53,13.93,-13.27,small,38537216.96,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
OSK,Oshkosh,22.698910467682133,143.44,12.74,35.77,70,1.74,40.69,-9.23,0.0,small,90595271.14,RS_trend_protect;breakout_protect;stall_risk,below_cutoff
NPK,National Presto Industries,22.628345324711567,107.21,5.04,16.1,67,2.91,24.59,11.09,-2.75,small,5201829.16,RS_trend_protect;pullback_protect,below_cutoff
WYY,WidePoint,22.61422062129682,4.69,38.71,21.88,72,8.06,29.2,-39.58,-23.37,small,527859.51,RS_trend_protect;breakout_protect,below_cutoff
LDOS,Leidos,22.606798970125073,183.39,10.5,20.85,74,1.56,27.26,-40.42,-8.18,small,166733602.7,RS_trend_protect;breakout_protect,below_cutoff
RYCEY,Rolls-Royce,22.582833142124613,14.3,4.69,42.09,46,1.38,17.12,7.24,-5.49,small,28215473.38,pullback_protect;setup_protect,below_cutoff
VRNS,Varonis Systems,22.568411335333792,58.49,9.25,23.99,65,2.6,17.5,-10.46,-2.48,small,88792209.3,pullback_protect;stall_risk,below_cutoff
TXG,10X Genomics,22.538912735621256,14.02,10.07,16.45,65,5.8,53.9,-46.44,-40.29,small,44245929.74,RS_trend_protect;stall_risk,below_cutoff
WTS,Watts Water Technologies,22.51235588368627,284.36,10.02,26.43,74,1.9,18.06,-37.41,0.0,small,68653031.26,breakout_protect,below_cutoff
AIRS,AirSculpt Technologies,22.48164452960248,6.37,9.99,31.96,52,8.18,37.58,-74.07,-26.61,small,5566934.0,RS_trend_protect;pullback_protect;low_liquidity_today,below_cutoff
SAABY,Saab,22.45431790170671,28.11,5.69,48.37,55,2.55,8.45,-53.69,-2.63,small,2719080.36,pullback_protect;stall_risk;setup_protect,below_cutoff
LMAT,LeMaitre Vascular,22.366813287859458,95.68,10.44,6.48,55,2.88,15.71,-39.94,-10.77,small,21282580.87,pullback_protect;stall_risk,below_cutoff
MIELY,Mitsubishi Electric,22.366367103465244,49.13,8.72,29.51,49,2.12,17.54,-29.44,-3.82,small,1970358.69,pullback_protect;setup_protect,below_cutoff
GSL,Global Ship Lease,22.20116700681234,29.98,7.5,29.7,55,1.73,21.47,-24.45,-0.8,small,11896813.32,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
FACC.VI,FACC,22.170542035174655,8.3,17.28,21.65,84,3.09,25.0,72.0,0.0,small,464453.9,RS_trend_protect;breakout_protect,below_cutoff
TERN,Terns Pharmaceuticals,22.157454650125423,6.89,26.46,51.49,66,6.45,97.14,7.06,-38.65,small,8150043.04,RS_trend_protect;stall_risk,below_cutoff
ORA,Ormat Technologies,22.154766526658122,92.31,4.85,21.99,66,1.93,22.96,-4.53,-2.68,small,54337356.96,RS_trend_protect;pullback_protect,below_cutoff
BP,BP,22.13999006267996,34.89,8.76,15.75,68,1.4,19.76,5.03,-0.23,large,269670038.78,pullback_protect,below_cutoff
