ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
RIOL.L,Rio Tinto,15.893370615123494,1644.4,3.33,7.64,62,0.38,6.87,-42.19,-1.05,small,5066396.48,breakout_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
SLAB,Silicon Laboratories,15.881114407831827,139.66,0.61,10.11,72,3.0,11.62,-33.29,-12.0,small,54373130.93,,below_cutoff
IIIN,Insteel Industries,15.87622123958798,38.81,4.53,22.57,75,2.24,8.05,-36.55,-2.17,small,4214184.0,breakout_protect,below_cutoff
DFH,Dream Finders Homes,15.875327021939812,28.09,5.83,12.87,60,4.6,32.63,-53.03,-26.27,small,10376586.51,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
ENR,Energizer,15.865624269407904,28.13,17.15,-0.39,45,2.64,27.77,-65.33,-26.2,small,31975510.7,low_liquidity_today,below_cutoff
EXPD,Expeditors International of Washington,15.860778224889659,122.33,4.91,6.83,62,1.59,9.46,-8.68,-5.7,small,164967512.32,breakout_protect;pullback_protect;setup_protect,below_cutoff
HCI,HCI Group,15.860137505596986,163.79,11.18,20.15,84,3.16,-0.51,-55.13,-4.13,small,24164756.66,,below_cutoff
SBSNY,Vend Marketplaces,15.85680384538877,39.17,3.55,21.16,46,1.51,26.68,-81.69,-6.89,small,85586.45,RS_trend_protect;pullback_protect;low_liquidity_today,below_cutoff
AGCO,AGCO,15.826120951615716,113.86,4.19,15.23,54,2.66,14.68,-38.39,-3.23,small,100536103.34,pullback_protect;setup_protect,below_cutoff
INDB,Independent Bank,15.822157042407971,71.94,9.65,11.83,81,2.74,17.65,-23.6,-1.37,small,23785163.31,breakout_protect,below_cutoff
BKU,BankUnited,15.819671148259452,39.21,6.43,7.87,73,2.24,15.23,-41.33,-6.82,small,26063866.64,breakout_protect,below_cutoff
TDS,Telephone and Data Systems,15.814710204659809,40.08,6.44,12.35,70,3.46,15.78,-22.31,-0.34,small,56911999.4,breakout_protect;pullback_protect;stall_risk,below_cutoff
FLNG,FLEX LNG,15.81371465317017,27.17,12.25,18.26,72,1.94,14.11,28.41,0.0,small,12106816.18,breakout_protect,below_cutoff
ABBV,AbbVie,15.797479844532722,208.06,7.54,11.78,75,1.54,12.07,-29.42,-2.24,large,1019759264.53,,below_cutoff
AZEK,AZEK,15.794315085202719,54.35,6.74,12.75,52,1.58,12.76,426.7,-0.93,large,276752993.97,pullback_protect,below_cutoff
STRT,Strattec Security,15.766950358543852,66.83,2.31,37.66,48,8.08,20.87,-42.35,-18.26,small,9517928.86,RS_trend_protect;pullback_protect,below_cutoff
NTRA,Natera,15.762139491341365,163.04,5.41,3.64,75,3.64,1.8,-52.11,-7.89,large,256276043.85,,below_cutoff
CRUS,Cirrus Logic,15.759201107730195,117.2,9.9,14.51,88,2.46,17.15,-18.88,-19.56,small,76831630.0,,below_cutoff
OBE.TO,Obsidian Energy,15.746907112150923,8.42,6.24,11.1,64,2.57,17.76,-55.73,-13.29,small,2004844.12,pullback_protect;stall_risk,below_cutoff
C,Citigroup,15.739674989880157,96.87,7.74,27.04,68,1.9,27.41,-19.16,0.0,large,1347415240.6,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
