ticker,company,score,tier,ATRpct,AVWAP252,EMA20,EMA200,EMA50,EMA50_slope_5d,MACD_hist,RSI14,SMA20,SMA200,SMA50,avg_dollar_vol_20d,avg_vol_20d,d20,d5,dist_to_52w_low,drawdown_pct,is_20d_high,liq_tier,price,r120,r60,vol_vs20,vsEMA200,vsEMA50,vsSMA20,vsSMA200,vsSMA50
HST,Host Hotels & Resorts,11.7162,small,1.91,15.8,15.89236013819167,15.700582948148785,15.770763935777325,0.3224995708987377,0.054,63,15.84,15.8,15.88,178169474.24,11042422.0,-2.51,2.64,28.68,-11.59,False,small,16.14,2.69,5.98,-56.62,2.7987308070177574,2.3412693622598235,1.89,2.15,1.6
SWX,Southwest Gas,11.6937,small,1.72,72.42,77.40070378487681,73.36975110499492,76.1015050163695,0.1980997663520112,-0.393,46,77.79,72.93,75.94,27870143.57,364030.0,-1.6,-1.2,16.38,-3.46,False,small,76.56,2.71,8.68,-67.2,4.348180070066898,0.6024782079301572,-1.59,4.98,0.82
GSK,GSK,11.6440,small,1.35,36.56,38.433974087887755,37.21578609880062,38.080767353753025,0.9323373389379164,0.336,77,38.01,36.16,38.12,154653081.3,3854282.0,6.84,1.94,29.32,-5.19,True,small,40.12,8.13,3.54,-57.05,7.8037150511593545,5.355019837976016,5.56,10.96,5.25
USB,US Bancorp,11.6174,large,1.62,44.38,45.75226684744567,44.34242866678986,45.20846362608908,0.46950724501217955,0.112,68,45.51,44.95,45.42,354680346.77,7689430.0,-0.42,0.43,28.12,-11.13,False,large,46.13,2.06,7.88,-55.76,4.031288738473959,2.0384155974261464,1.35,2.62,1.54
HALMY,Halma,11.6125,small,1.47,74.12,88.3184346540326,77.91812477353638,86.62778139715356,0.34539315817696536,-0.304,54,88.31,75.59,87.79,3089101.26,35434.0,-1.49,-1.48,44.19,-3.96,False,small,87.18,21.79,11.12,-53.51,11.886676243021288,0.6374613246930005,-1.27,15.34,-0.69
ASAZY,Assa Abloy,11.6051,small,0.83,15.38,17.033347833113634,15.585726028024794,16.499199700689132,1.2837309455832724,0.018,75,17.01,15.37,16.3,3327150.57,191436.0,2.0,0.12,36.13,-1.14,False,small,17.38,13.44,10.84,-93.93,11.512289955237943,5.338442562605494,2.2,13.07,6.63
TDY,Teledyne Technologies,11.5951,small,1.56,490.35,543.4798195015646,495.7440819882274,532.065874878904,0.3455828812086503,-2.397,47,547.44,495.37,529.79,179796353.12,332183.0,-2.63,0.52,30.28,-3.97,False,small,541.26,5.52,9.07,-66.06,9.181333608507614,1.7280050375695577,-1.13,9.26,2.16
IDT,IDT,11.5920,small,2.69,54.17,61.03963751876448,54.254084620551765,60.627207334667474,0.583754896818145,0.413,70,60.17,53.71,62.32,8107221.2,130383.0,8.84,0.61,73.36,-11.02,False,small,62.18,32.5,0.56,-60.3,14.60888232633797,2.561214236309728,3.34,15.78,-0.22
MSCI,MSCI,11.5566,large,1.97,566.2,559.7175392624554,561.444419564606,559.4568696733251,0.21901699355304505,2.441,56,556.69,570.15,560.56,452244528.38,795967.0,4.34,2.0,12.87,-9.81,False,large,568.17,-2.89,1.3,-51.56,1.1979067207773753,1.557426639834203,2.06,-0.35,1.36
SCI,Service Corp International,11.5533,small,1.57,78.69,80.02645917924059,78.50393947144411,79.36525318681025,0.48841176288154653,0.261,72,79.18,79.52,79.56,81401341.09,1000139.0,7.06,0.91,12.19,-7.07,False,small,81.39,2.55,6.06,-52.6,3.6763257334438526,2.551175397152572,2.79,2.35,2.31
BKU,BankUnited,11.5182,small,2.18,35.76,37.016559671726995,35.849456006875485,36.458904197822264,0.47465087057991795,0.008,61,36.88,36.28,36.46,24590994.16,666694.0,-4.1,-1.61,27.48,-12.35,False,small,36.88,0.91,9.16,-65.96,2.874643322138204,1.1549875440383994,0.01,1.66,1.18
KC,Kingsoft Cloud,11.4954,small,4.01,11.08,13.842080080717746,11.826638329605942,13.68212831101486,0.16432320884933738,-0.071,52,13.97,12.52,13.47,21731068.4,1594941.0,-13.77,0.33,551.91,-34.53,False,small,13.62,-8.89,14.69,-22.93,15.163748314723446,-0.45408367472219435,-2.49,8.79,1.16
GWO.TO,Great-West Lifeco,11.4788,small,1.45,49.03,53.462991870224975,49.92257837709633,52.5402352401604,0.9221622610465996,0.187,71,53.21,50.18,52.06,88769607.84,1611649.0,4.32,1.38,33.37,-3.02,True,small,55.08,4.72,6.87,-80.67,10.33083985355574,4.833942498031041,3.52,9.76,5.8
CAKE,Cheesecake Factory,11.4646,small,2.65,51.34,62.57386843988502,53.45892504132815,61.31569826639984,0.28601780849193403,-0.207,48,62.82,53.03,62.33,99591322.46,1614122.0,-5.79,-2.05,74.74,-9.54,False,small,61.7,22.09,12.41,-67.46,15.415713937945474,0.6267591244422777,-1.79,16.36,-1.01
YB,Yuanbao,11.4593,small,6.83,20.85,26.272115831244825,,24.536524817145718,1.205009080756314,-0.351,48,26.65,,24.95,1198377.5,46516.0,-7.1,-2.16,81.17,-16.49,False,small,25.76,,77.55,1.74,,4.986342572846092,-3.34,nan,3.26
ACLX,Arcellx,11.4455,small,4.88,71.12,71.13655336774455,68.37466476208488,69.12761741642508,0.9951842397512678,-0.138,52,71.41,70.39,68.6,37336644.2,520009.0,0.69,-3.08,35.98,-32.6,False,small,71.8,14.64,17.42,-66.87,5.0096556229326294,3.8658682064455885,0.55,2.0,4.67
DX,Dynex Capital,11.4254,small,1.2,11.89,12.480657876490026,11.920945427478747,12.359256386991735,0.2456147341925119,-0.015,49,12.51,11.96,12.36,43591525.06,3506961.0,-2.51,-1.19,18.15,-7.69,False,small,12.43,-4.72,6.03,20.2,4.270253358830423,0.5723937653945299,-0.64,3.89,0.59
GPC,Genuine Parts,11.4170,small,1.6,121.57,134.20827924279678,124.96865679444402,129.86954365432467,1.287539050352926,-0.0,73,134.23,121.23,127.99,150179284.79,1103529.0,1.79,-1.24,30.01,-2.9,False,small,136.09,11.57,8.95,-76.64,8.899306026669596,4.78977300654293,1.39,12.26,6.33
WSP.TO,WSP Global,11.4062,small,1.69,253.62,281.4806887447996,260.80607604012636,278.7089808776801,0.12465498024303301,-0.427,46,282.62,258.29,279.71,52503415.99,186235.0,-1.56,1.35,27.26,-2.44,False,small,281.92,9.8,0.22,-60.05,8.095641129398068,1.152104647725416,-0.25,9.15,0.79
ORC,Orchid Island Capital,11.3748,small,1.39,6.93,7.084101506686852,6.943784364784538,7.010678270559271,0.2503543165227162,-0.012,52,7.1,6.99,7.0,29459277.63,4169749.0,-3.03,-1.19,24.97,-12.69,False,small,7.07,-8.88,6.25,-36.92,1.8176779200628213,0.8461624845893301,-0.55,1.0,0.93
TTNP,Titan Pharmaceuticals,11.3648,small,6.06,8.53,4.612404643154381,4.3719782060420584,4.471411909953171,2.651255019318466,0.085,75,4.4,3.99,4.44,252648.66,51561.0,20.39,-0.61,55.56,-51.0,False,small,4.9,21.89,6.06,73.04,12.077411393044413,9.58507287357737,11.29,22.86,10.35
LBTYA,Liberty Global (Class A),11.3588,small,2.56,12.9,10.980968271258375,11.999201123186843,10.559835625574244,1.89333363587596,0.029,74,10.87,11.5,10.32,25820044.65,2262931.0,13.76,-1.04,25.66,-46.95,False,small,11.41,-1.38,20.11,-62.03,-4.910336256038672,8.05092431899974,5.0,-0.75,10.53
WD,Walker & Dunlop,11.3513,small,2.86,86.08,80.41187784812297,82.79683684025666,77.08800823118365,2.008875579639513,0.264,67,79.62,84.39,75.07,22498426.36,273304.0,7.76,-1.25,24.73,-27.57,False,small,82.32,-0.89,21.08,-69.82,-0.5759119049157047,6.78703716552882,3.39,-2.46,9.66
AMTM,Amentum Holdings,11.3300,small,3.53,22.52,24.926856476804335,23.41700406572832,24.174382466754658,0.4132843806950115,-0.212,52,25.1,22.23,24.26,38145984.65,1564001.0,-4.69,-3.14,48.45,-26.98,False,small,24.39,32.27,17.94,-77.27,4.155082911292207,0.8919257132705027,-2.83,9.73,0.53
OBE.TO,Obsidian Energy,11.3211,small,3.26,7.52,7.913987533291369,7.775433199796667,7.769865725560111,0.17666606802833051,-0.035,34,8.05,7.58,7.88,2176438.41,271715.0,-0.99,3.35,47.24,-17.51,False,small,8.01,10.33,19.02,-61.91,3.0167682516964778,3.090584611390801,-0.53,5.68,1.59
SU.TO,Suncor Energy,11.3189,large,1.65,51.7,53.713871415828436,52.07310547157699,53.15129170796298,0.18216795251433382,-0.076,44,53.97,52.25,53.65,283826581.36,5240520.0,0.0,0.84,21.89,-4.6,False,large,54.16,5.42,12.06,-65.17,4.007624491614181,1.8978057910225665,0.35,3.65,0.94
APPF,Appfolio,11.3114,small,3.64,233.62,272.03509062352146,239.3056271283281,258.39401485786226,0.8168131997129846,-4.203,10,279.45,235.52,254.38,112863959.73,422134.0,1.07,0.78,39.24,-16.77,False,small,267.36,25.08,29.61,-84.08,11.723239945639774,3.4698888621974344,-4.32,13.52,5.11
AOS,A O Smith,11.3089,small,1.55,69.31,71.29878076291294,69.46932825657551,69.56047659996709,0.8466881123789571,-0.071,61,71.35,67.84,68.69,86403244.92,1200212.0,0.38,-0.3,21.93,-18.97,False,small,71.99,9.53,12.62,-58.64,3.628467133170954,3.492677909619224,0.89,6.12,4.81
XPO,XPO,11.2917,small,2.99,122.36,126.94490461619156,122.58008349310002,125.66491657212906,0.4364218139543574,0.41,63,126.44,126.9,127.26,163013537.87,1280295.0,-7.94,-0.06,39.21,-19.52,False,small,127.32,6.45,7.61,-56.75,3.866791710226547,1.3170608575711285,0.7,0.33,0.05
ANGI,Angi,11.2827,small,4.38,15.36,17.46053585925168,17.28000130377841,16.764482171672835,1.5017415863735062,-0.061,57,17.34,16.7,16.54,13340127.15,781954.0,0.59,-6.78,52.32,-40.76,False,small,17.06,2.77,7.7,-38.11,-1.2731555971023267,1.7627614459008178,-1.59,2.17,3.17
HSY,Hershey,11.2657,large,2.32,169.65,179.68648509533466,170.9200865211359,175.50273490485714,0.5170483774278978,-0.884,35,182.52,166.54,174.8,296001377.85,1654101.0,-3.63,0.54,26.71,-9.03,False,large,178.95,1.87,15.66,-63.75,4.6980513772856725,1.9642230059899957,-1.96,7.45,2.37
VVV,Valvoline,11.2590,small,2.29,37.36,38.194734218622095,37.49487553221422,37.36742732236923,1.0631868971462621,0.135,76,37.6,36.82,37.46,68476952.75,1764642.0,8.15,-1.33,23.27,-10.61,False,small,38.81,8.82,13.4,-69.93,3.507477886293753,3.8605084186976057,3.2,5.39,3.58
BRE.TO,Bridgemarq Real Estate Services,11.1696,small,1.1,13.72,15.023222111777539,14.001252213568971,14.85943754685656,0.21517457739292922,-0.019,47,15.04,14.02,14.92,105219.75,7015.0,-1.74,0.07,24.83,-1.74,False,small,15.0,15.82,3.27,-20.27,7.133274732835093,0.945947332799113,-0.27,7.02,0.56
TXN,Texas Instruments,11.1019,large,2.1,185.87,194.20230635342705,188.64934345220453,194.15748275868452,0.374306542673275,2.002,86,189.44,186.28,199.69,1270995602.94,6330605.0,9.31,3.19,40.06,-8.6,True,large,200.77,4.92,9.81,-60.3,6.424966197068338,3.4057493676584727,5.98,7.78,0.54
BEPC.TO,Brookfield Renewable,11.0555,small,2.31,40.45,46.93306570320994,42.05061256143932,45.987273971443386,0.22581672613051218,-0.237,29,47.62,41.13,46.46,10591725.99,227632.0,-6.64,0.67,34.98,-8.21,False,small,46.53,22.61,14.64,-66.9,10.652371429823848,1.1801656886503586,-2.29,13.12,0.16
HOG,Harley-Davidson,11.0480,small,3.24,27.62,25.915618678966034,26.691093922604935,25.06599107909549,2.1743744716792968,0.264,74,25.41,26.41,24.69,73681530.79,2723901.0,10.0,-1.28,30.9,-30.23,False,small,27.05,9.4,11.37,-69.34,1.344666046418963,7.91514253174348,6.45,2.44,9.56
