Ticker,BrainScore,RSI14,Momentum,MACD_hist,pos_30d,volatility_30
LITE,873.3410346029091,63.50962371261353,38.420013427734375,3.3134276090107626,4.674976036297647,0.08593918267465747
AGX,856.1500160428686,62.127812505415015,24.3800048828125,1.4198890518123335,3.086602284126944,0.06783377403354875
VCYT,816.3403935496605,58.83643968777229,6.922000885009766,0.6531267435133121,5.978104486741384,0.05084462756828215
ADPT,796.7563906144284,61.41947543028667,5.570000648498535,0.5554673335277396,4.208825271920126,0.0625101783821584
ARWR,795.888840599697,69.39788871439465,5.060001373291016,0.2295040878273673,3.3051327019077443,0.06152412771743464
GRGD.TO,793.4317244747525,59.53155423961435,8.59000015258789,0.21434425302516158,2.1078871044149814,0.05081469122045321
LUG.TO,758.2932669840909,64.65052881597691,4.7299957275390625,0.16210626474200573,2.4248790714754587,0.053291597319199094
ILMN,753.6698530860494,65.27391797520688,6.420005798339844,0.10965340882031871,4.0051714188554275,0.04409283753118958
PRPO,751.3622225346849,58.704451561470975,2.607999801635742,0.29484803425446615,1.6594891906707332,0.08208899408197345
ERO.TO,737.4670119421658,68.28045583046118,2.3499984741210938,0.1436166590008635,2.8910278912491094,0.045205111079422114
